id_caja,nombre_caja,ubicacion_freezer,cantidad_muestras
5,Caja 5,3,48
6,Caja 6,2,35
7,Caja 7,2,50
8,Caja 8,2,48
9,Caja 9,1,40
10,Caja 10,3,25
11,Caja 11,1,50
12,Caja 12,2,50
13,Caja 13,1,19
14,Caja 14,2,50
15,Caja 15,4,20
16,Caja 16,4,47
17,Caja 17,3,40
18,Caja 18,2,50
19,Caja 19,4,50
20,Caja 20,1,50
21,Caja 21,1,50
22,Caja 22,2,48
23,Caja 23,3,75
24,Caja 24,4,45
25,Caja 25,2,35
26,Caja 26,3,80
27,Caja 27,1,100
28,Caja 28,1,50
29,Caja 29,2,50
30,Caja 30,4,50
31,Caja 31,4,25
32,Caja 32,4,39
33,Caja 33,2,45
34,Caja 34,3,50
35,Caja 35,1,50
36,Caja 36,1,50
37,Caja 37,2,50
38,Caja 38,3,32
